,X0,X0_err,Y0,Y0_err,bulge_PA,bulge_PA_err,bulge_ell,bulge_ell_err,bulge_n,bulge_n_err,bulge_I_e,bulge_I_e_err,bulge_r_e,bulge_r_e_err,disk_PA,disk_PA_err,disk_inc,disk_inc_err,disk_J_0,disk_J_0_err,disk_h1,disk_h1_err,disk_h2,disk_h2_err,disk_r_break,disk_r_break_err,disk_n,disk_n_err,disk_z_0,disk_z_0_err,halo_PA,halo_PA_err,halo_ell,halo_ell_err,halo_n,halo_n_err,halo_I_e,halo_I_e_err,halo_r_e,halo_r_e_err,bar_PA,bar_PA_err,bar_inc,bar_inc_err,bar_barPA,bar_barPA_err,bar_J_0,bar_J_0_err,bar_R_bar,bar_R_bar_err,bar_q,bar_q_err,bar_q_z,bar_q_z_err,bar_n,bar_n_err,solverName,fitConverged,nIter,nFuncEvals,fitStat,fitStatReduced,aic,bic,filename,chi2,AIC,BIC
0,128.1067151195861,0.1453622875260275,128.44947525868918,0.04580039790087758,97.16657158928253,5.273772603878975,0.5859965865896454,0.06775902908833935,0.7144786973374688,0.2929465989761239,5.482537049235961,1.148862132670966,3.0,0.0,91.11376824073494,5.273772603878975,78.0,0.06775902908833935,0.29980822127837686,0.2929465989761239,19.041345586919,1.148862132670966,5.233818129090308,0.0,22.348382208528474,0.5056528869951917,1.0,0.0,1.0915646407013562,0.07540296768805077,91.12249330730909,5.273772603878975,0.5569301321573451,0.06775902908833935,0.9976234517528147,0.2929465989761239,0.1405113656239355,1.148862132670966,20.502652411585206,0.0,90.0,5.273772603878975,78.0,0.06775902908833935,45.0,0.2929465989761239,8.551340119097206,1.148862132670966,7.669802110508445,0.0,0.32313625838587756,0.5056528869951917,0.1,0.0,2.0,0.07540296768805077,LM,True,19,300,208.43200113251828,0.003181148046161052,238.4393271398443,374.78732446690515,guess0.dat,208.43200113251828,238.4393271398443,374.78732446690515
1,128.1069338269053,0.14538280947072366,128.4495473097081,0.045807291560705704,97.15521471420163,5.277534686432882,0.5856850133455993,0.06778908317627202,0.7154103274462034,0.29296877326150156,5.480040164050747,1.1481399177758005,3.0,0.0,91.11375276168182,5.277534686432882,78.0,0.06778908317627202,0.29911914333586387,0.29296877326150156,19.071662364746118,1.1481399177758005,5.232531009395391,0.0,22.34715441460537,0.5057691584716476,1.0,0.0,1.092545297714077,0.07527678360583533,91.12249330730909,5.277534686432882,0.5569301321573451,0.06778908317627202,0.9976234517528147,0.29296877326150156,0.1405113656239355,1.1481399177758005,20.502652411585206,0.0,90.0,5.277534686432882,78.0,0.06778908317627202,45.0,0.29296877326150156,8.551340119097206,1.1481399177758005,7.669802110508445,0.0,0.32313625838587756,0.5057691584716476,0.1,0.0,2.0,0.07527678360583533,LM,True,23,363,208.4324260850728,0.003181154531906912,238.4397520923988,374.78774941945966,guess1.dat,208.4324260850728,238.4397520923988,374.78774941945966
2,128.10677625123662,0.1454247994014756,128.44939583909476,0.04581421014385905,97.1709358181207,5.277440564711941,0.5862628334787883,0.06782082425753705,0.7139914539193883,0.2932839611687301,5.4774742379531025,1.1494798204765528,3.0,0.0,91.11435966882175,5.277440564711941,78.0,0.06782082425753705,0.3010051329533896,0.2932839611687301,18.954557830602525,1.1494798204765528,5.232602974894194,0.0,22.369962848042697,0.5055972801095221,1.0,0.0,1.0908649631551912,0.0755099530295809,91.12249330730909,5.277440564711941,0.5569301321573451,0.06782082425753705,0.9976234517528147,0.2932839611687301,0.1405113656239355,1.1494798204765528,20.502652411585206,0.0,90.0,5.277440564711941,78.0,0.06782082425753705,45.0,0.2932839611687301,8.551340119097206,1.1494798204765528,7.669802110508445,0.0,0.32313625838587756,0.5055972801095221,0.1,0.0,2.0,0.0755099530295809,LM,True,16,265,208.43253899395674,0.0031811562551541757,238.43986500128275,374.78786232834364,guess2.dat,208.43253899395674,238.43986500128275,374.78786232834364
3,128.10719535783045,0.14537765335624123,128.44955182259767,0.045802610298414176,97.17790304813178,5.285245261984756,0.5859336380024321,0.06791175863008024,0.715852101012079,0.29370641892645255,5.470791410641026,1.1490100142005466,3.0,0.0,91.11396945164184,5.285245261984756,78.0,0.06791175863008024,0.30069838408627075,0.29370641892645255,18.990218530525038,1.1490100142005466,5.235280243678583,0.0,22.356123775983548,0.5055782898306085,1.0,0.0,1.0904906543755097,0.07552844421166913,91.12249330730909,5.285245261984756,0.5569301321573451,0.06791175863008024,0.9976234517528147,0.29370641892645255,0.1405113656239355,1.1490100142005466,20.502652411585206,0.0,90.0,5.285245261984756,78.0,0.06791175863008024,45.0,0.29370641892645255,8.551340119097206,1.1490100142005466,7.669802110508445,0.0,0.32313625838587756,0.5055782898306085,0.1,0.0,2.0,0.07552844421166913,LM,True,54,877,208.4327544528541,0.003181159543548696,238.44008046018013,374.788077787241,guess3.dat,208.4327544528541,238.44008046018013,374.788077787241
4,128.10675991638095,0.14550463037423728,128.44821655815605,0.04584080035994231,97.20033429245467,5.28824684716002,0.586555175691951,0.06797217752022672,0.7132264563150204,0.2939885718735377,5.465290730571768,1.1502081494449656,3.0,0.0,91.11513131835564,5.28824684716002,78.0,0.06797217752022672,0.3030230789307671,0.2939885718735377,18.821754774781905,1.1502081494449656,5.232838538552363,0.0,22.405434267776172,0.5052571090074425,1.0,0.0,1.0892562862747617,0.07570516595311748,91.12249330730909,5.28824684716002,0.5569301321573451,0.06797217752022672,0.9976234517528147,0.2939885718735377,0.1405113656239355,1.1502081494449656,20.502652411585206,0.0,90.0,5.28824684716002,78.0,0.06797217752022672,45.0,0.2939885718735377,8.551340119097206,1.1502081494449656,7.669802110508445,0.0,0.32313625838587756,0.5052571090074425,0.1,0.0,2.0,0.07570516595311748,LM,True,24,393,208.43328208544423,0.0031811675964262486,238.44060809277025,374.78860541983113,guess4.dat,208.43328208544423,238.44060809277025,374.78860541983113
5,128.1069291926842,0.14553046265877698,128.44954012187944,0.0458421643635291,97.19692316738775,5.278777935089711,0.5871151849166042,0.0678491293159998,0.7111388864315651,0.2935094790762275,5.472225576806423,1.1511620786919186,3.0,0.0,91.11448122571431,5.278777935089711,78.0,0.0678491293159998,0.30437061512064406,0.2935094790762275,18.737675156628907,1.1511620786919186,5.22565649825035,0.0,22.432370269423835,0.5052164059011545,1.0,0.0,1.0880784467822355,0.07578003360726797,91.12249330730909,5.278777935089711,0.5569301321573451,0.0678491293159998,0.9976234517528147,0.2935094790762275,0.1405113656239355,1.1511620786919186,20.502652411585206,0.0,90.0,5.278777935089711,78.0,0.0678491293159998,45.0,0.2935094790762275,8.551340119097206,1.1511620786919186,7.669802110508445,0.0,0.32313625838587756,0.5052164059011545,0.1,0.0,2.0,0.07578003360726797,LM,True,40,639,208.43383927665164,0.003181176100435763,238.44116528397765,374.7891626110385,guess5.dat,208.43383927665164,238.44116528397765,374.7891626110385
6,128.0996646251467,0.13870321672924968,128.44238778885554,0.047025574803622766,103.28586275386358,0.0,0.42210251879613914,0.0,0.5,0.0,0.0,0.0,2.486703802351476,0.0,91.16694974267591,0.0,78.0,0.0,0.4491324075609644,0.0,13.608744589816002,0.0,5.186207309322421,0.0,23.908179708720205,0.49536589158844746,1.0,0.0,1.0165404956518234,0.07052721509472148,91.12249330730909,0.0,0.5569301321573451,0.0,0.9976234517528147,0.0,0.1405113656239355,0.0,20.502652411585206,0.0,90.0,0.0,78.0,0.0,45.0,0.0,8.551340119097206,0.0,7.669802110508445,0.0,0.32313625838587756,0.49536589158844746,0.22634228234588896,0.0,2.0,0.07052721509472148,LM,True,26,403,210.5436788236445,0.003213377067255453,240.55100483097053,376.8990021580314,guess6.dat,210.5436788236445,240.55100483097053,376.8990021580314
7,128.08058980169176,0.1469001169393015,128.4214632131539,0.05088410050579299,157.48362778434586,0.0,0.5866424261584329,673.5350793760012,0.5,0.0,0.6038741951708727,0.0,0.10000000000000009,89.19913087277831,91.22173967244764,0.0,78.0,673.5350793760012,0.509834049751258,0.0,12.637470627135569,0.0,5.217153686374651,89.19913087277831,24.352659316268895,0.49856759586687716,1.0,0.0,0.9618807511379552,0.07923034205947976,91.12249330730909,0.0,0.5569301321573451,673.5350793760012,0.9976234517528147,0.0,0.1405113656239355,0.0,20.502652411585206,89.19913087277831,90.0,0.0,78.0,673.5350793760012,45.0,0.0,8.551340119097206,0.0,7.669802110508445,89.19913087277831,0.32313625838587756,0.49856759586687716,0.20415902915437306,0.0,2.0,0.07923034205947976,LM,True,10,162,212.3166271733702,0.0032404363055107553,242.3239531806962,378.67195050775706,guess7.dat,212.3166271733702,242.3239531806962,378.67195050775706
8,128.09838246509585,0.14042405427774637,128.4106678981414,0.04918323029141206,-180.0,0.0,0.01,0.0,5.0,0.0,0.23999544444518042,0.16311719368991964,3.0,0.0,91.36707889321168,0.0,78.0,0.0,0.7487712271742339,0.0,8.120953113524576,0.16311719368991964,0.08066720637698487,0.0,57.7111667156694,0.5642505947304132,1.0,0.0,1.116985741965865,0.06807655724851011,91.12249330730909,0.0,0.5569301321573451,0.0,0.9976234517528147,0.0,0.1405113656239355,0.16311719368991964,20.502652411585206,0.0,90.0,0.0,78.0,0.0,45.0,0.0,8.551340119097206,0.16311719368991964,7.669802110508445,0.0,0.32313625838587756,0.5642505947304132,0.15725754593925312,0.0,2.0,0.06807655724851011,LM,True,35,553,269.04040153285683,0.004106170564137556,299.04772754018285,435.3957248672437,guess8.dat,269.04040153285683,299.04772754018285,435.3957248672437
9,128.3952394651864,0.07897003897881197,128.44425051232653,0.037267931342374314,94.27299283192991,15.816105604178267,0.12304762553866047,0.04967528225472756,1.697638591619298,0.1792873230553923,5.37993044523104,0.47099737129813873,3.0,0.0,96.15566050018893,15.816105604178267,78.0,0.04967528225472756,0.018945465249798288,0.1792873230553923,29.0593762205742,0.47099737129813873,5.150160310922132,0.0,49.143226298435266,0.0,1.0,0.0,0.0,0.0,91.12249330730909,15.816105604178267,0.5569301321573451,0.04967528225472756,0.9976234517528147,0.1792873230553923,0.1405113656239355,0.47099737129813873,20.502652411585206,0.0,90.0,15.816105604178267,78.0,0.04967528225472756,45.0,0.1792873230553923,8.551340119097206,0.47099737129813873,7.669802110508445,0.0,0.32313625838587756,0.0,0.1,0.0,2.0,0.0,LM,True,14,215,1015.3541267484738,0.015496621338936735,1045.3614527557997,1181.7094500828607,guess9.dat,1015.3541267484738,1045.3614527557997,1181.7094500828607
