name,ell,pa,rad
Au1,0.6,45,75
Au2,0.56,46,133
Au3,0.0,0.0,0.0
Au4,0.0,0.0,0.0
Au5,0.52,43.5,77
Au6,0.37,34.4,104
Au7,0.37,50,126
Au8,0.0,0.0,0.0
Au9,0.68,44.8,97.8
Au10,0.68,36,120
Au12,0.58,44.8,73
Au13,0.53,40,88
Au14,0.63,45,92
Au15,0.0,0.0,0.0
Au16,0.0,0.0,0.0
Au17,0.6,45,113
Au18,0.58,45,82
Au19,0.0,0.0,0.0
Au20,0.63,45,140
Au21,0.45,45,50
Au22,0.61,45,120
Au23,0.62,45,160
Au24,0.6,45,98
Au25,0.57,45,62
Au26,0.6,45,106
Au27,0.62,45,98
Au28,0.69,45,96
Au29,0.0,0.0,0.0
Au30,0.0,0.0,0.0
