name,barred,aic_new,aic_old,Lxi_new,Lxi_old
1437151_28,True,260.406258263349,296.7285928046785,29640.803572606303,27609.202552854935
1437151_27,True,258.97868352362525,308.21450835371616,35737.045129555874,33692.42064458716
1437151_26,True,323.6628974941051,406.16779261314247,73427.80316184621,55260.08596639299
1437151_25,True,363.0670116768774,461.8824664284964,915309.3593769514,87528.77751550496
1437151_24,True,372.9103306424645,447.23859715367854,132573.53769628445,231052.9183887327
1437151_23,True,110.8129939923312,171.65231337574437,84561.17770110787,364102.1701201547
1437151_22,True,175.52542853656308,266.708498311718,92392.58626052977,165179.44436647094
1437151_21,True,173.79297373016132,260.7440626952336,105402.31026001356,248498.43545661063
1437151_20,False,222.86222919226591,361.6628155808596,109470.8561737695,178704.2487832272
1437151_19,False,212.15335606513582,569.0995694557967,173101.78052712334,262740.97847133246
1437151_18,False,544.396835787856,1939.808503453358,536501.7839609389,714763.8925114446
1437151_17,False,565.9615446074154,919.7771192865364,829141.5589579933,236070.9079351317
1437151_16,False,242.2413994302119,468.13075018201766,342426.39037202694,133410.28371503824
1437151_15,False,135.74957407815896,443.70986682177545,360060.0135165951,305097.14918567997
1437151_14,False,240.62369529584623,252.13014774994326,1720861.3492838186,412040.141898695
1437151_13,False,190.60639743798612,206.63497628002438,540307.9021425763,495522.98126891104
1437151_12,False,810.0746176302171,687.5452632367027,604649.0443013689,685391.9822807033
1515368_28,True,156.87826601602535,253.32110018348632,34413.96463243836,27193.71967697118
1515368_27,True,200.14012586898693,461.91369716504653,37318.127373260286,29614.205121683302
1515368_26,True,176.07663087753235,457.91791975870456,35739.56737010521,28588.99705409231
1515368_25,True,233.66768322731326,599.3253775072374,40666.58347902314,30796.996407149745
1515368_24,True,446.22572041710725,848.8511956800819,56387.99668665101,36692.42307426705
1515368_23,True,315.71875638574556,707.2769864549232,51796.72673226285,32492.369186012234
1515368_22,True,612.2664415952443,1015.683912207756,77328.45208619253,42247.541304755665
1515368_21,True,699.3230500845193,1522.8730686891736,61184.64733373588,36985.361823123676
1515368_20,True,538.5052080963418,2016.8851572844076,68100.8350597799,40436.614856754495
1515368_19,True,631.912456378989,1264.1822689309054,67030.4678757059,38622.46400235839
1515368_18,True,747.7737592309632,3072.453291787182,60971.96887036899,39114.43117882968
1515368_17,True,2115.188728814829,5078.318305427441,114489.25910079661,100981.6155598081
1515368_16,True,1170.1466836476102,2752.9403441771715,95788.64476961519,52978.514547681225
1515368_15,False,977.9177210675024,1339.9217767314287,270606.4024691357,208922.67361420963
1515368_14,False,607.262006973431,877.129234668525,206000.15994830022,111446.05208768413
1515368_13,False,542.8390067360051,1128.6666558769948,2523547.3129139333,123307.56643803278
1515368_12,False,279.48461326302174,896.9435189203384,2712011.231345515,214551.61350018682
1540783_28,True,413.9061137997428,620.8101782604106,46227.27389449245,33110.175037735855
1540783_27,True,441.39022507634934,613.5327117689915,51402.22991672064,35344.138846359856
1540783_26,True,435.65441752055324,681.5453486672224,109078.3461554901,61625.902623416354
1540783_25,False,348.94460983133797,402.9782886394022,54059.59231841359,43092.49162725295
1540783_24,False,780.9193753631296,895.1787476410918,133347.34806778614,94811.49659849185
1540783_23,True,160.92918606114603,244.72144573950226,619654.4628616751,1178882.8894356254
1540783_22,False,213.75124532638395,305.54325759254556,1165327.6258953,1695209.0110451682
1540783_21,False,242.77864200805885,428.638787390918,598502.3042764969,1289050.8921591518
1540783_20,True,245.1242396907471,565.5524580979427,532958.6135420945,326317.8246676417
1540783_19,True,159.4116316524452,2153.79106898487,289604.80334905,171003.01959021576
1540783_18,False,187.87108137962315,206.40006604966948,561586.8528049946,524033.57994936383
1540783_17,False,202.88774978160157,530.6796062457589,1726918.2537430562,169797.87632700376
1540783_16,False,251.00075028811136,338.39680867391064,488858.77677407,91024.70614268159
